,date,agency,location,description
7,12-14-2021 3:00 PM,Wilmington Police,200 BLOCK S MARKET ST,DAMAGE/PRIVATE PROPERTY
8,12-14-2021 2:31 PM,Delaware State Police,1700 BLOCK FAULKLAND RD,LARCENY/SHOPLIFTING
9,12-14-2021 12:22 PM,Delaware State Police,400 BLOCK SE MECO DR,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
10,12-14-2021 11:31 AM,Wilmington Police,2800 BLOCK N 4TH ST,DAMAGE/PRIVATE PROPERTY
11,12-14-2021 10:59 AM,Wilmington Police,3200 BLOCK S LANCASTER AVE,IMPERSONATION
12,12-14-2021 7:53 AM,Wilmington Police,2700 BLOCK S 3RD ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,12-14-2021 6:09 AM,Wilmington Police,7TH AVE,VEHICLE THEFT
14,12-14-2021 4:58 AM,Wilmington Police,100 BLOCK 29TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
0,12-14-2021 1:38 AM,Wilmington Police,,DAMAGE/PRIVATE PROPERTY
0,12-28-2021 11:36 PM,Wilmington Police,200 BLOCK 9TH ST,DAMAGE/BUSINESS PROPERTY
1,12-28-2021 10:30 PM,Delaware State Police,1200 BLOCK N CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
2,12-28-2021 8:39 PM,Delaware State Police,2800 BLOCK NW LANCASTER AVE,DAMAGE/BUSINESS PROPERTY
3,12-28-2021 8:10 PM,Wilmington Police,200 BLOCK S MARYLAND AVE,DAMAGE/PRIVATE PROPERTY
4,12-28-2021 7:10 PM,Wilmington Police,700 BLOCK S 22ND ST,AGGRAVATED ASSAULT/NON-FAMILY STRONG-ARM/HANDS/FIST/FEET
5,12-28-2021 4:58 PM,Delaware State Police,000 BLOCK S GERMAY DR,LARCENY/FROM BUILDING
6,12-28-2021 3:20 PM,Wilmington Police,900 BLOCK 34TH ST,DAMAGE/PRIVATE PROPERTY
7,12-28-2021 2:00 PM,Wilmington Police,4000 BLOCK MARKET ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
8,12-28-2021 12:33 PM,Wilmington Police,1300 BLOCK S DELAWARE AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
9,12-28-2021 12:02 PM,Wilmington Police,1400 BLOCK S LANCASTER AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
10,12-28-2021 11:52 AM,Wilmington Police,500 BLOCK 24TH ST,DAMAGE/PRIVATE PROPERTY
11,12-28-2021 10:43 AM,Delaware State Police,3000 BLOCK S NEW CASTLE AVE,LARCENY/SHOPLIFTING
12,12-28-2021 8:40 AM,Wilmington Police,900 BLOCK BROOM ST,BURGLARY/FORCED ENTRY/RESIDENCE
13,12-28-2021 8:34 AM,Wilmington Police,,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
14,12-28-2021 8:11 AM,Delaware State Police,700 BLOCK NW NEWPORT GAP PIKE,LARCENY/FROM BUILDING
0,12-27-2021 10:25 PM,Wilmington Police,700 BLOCK JUSTISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,12-27-2021 6:14 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/FROM ALL OTHER YARDS
