,date,agency,location,description
3,3-22-2022 5:38 PM,Wilmington Police,300 BLOCK S 8TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
4,3-22-2022 3:23 PM,Wilmington Police,1200 BLOCK S WASHINGTON ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
5,3-22-2022 2:46 PM,Wilmington Police,STROLLEY SQ,LARCENY/SHOPLIFTING
6,3-22-2022 2:34 PM,Wilmington Police,700 BLOCK SHIPLEY ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
7,3-22-2022 2:25 PM,Wilmington Police,1000 BLOCK CHESTNUT ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
8,3-22-2022 1:53 PM,Delaware State Police,1300 BLOCK SW CENTERVILLE RD,LARCENY/SHOPLIFTING
9,3-22-2022 1:24 PM,Wilmington Police,STROLLEY SQ,LARCENY/SHOPLIFTING
10,3-22-2022 1:18 PM,Wilmington Police,TATNALL NE ST & W. TENTH ST,DAMAGE/PRIVATE PROPERTY
11,3-22-2022 1:05 PM,Wilmington Police,1300 BLOCK N. MARKET ST,DAMAGE/PRIVATE PROPERTY
12,3-22-2022 11:53 AM,Wilmington Police,1900 BLOCK DELAWARE AVE,BURGLARY/FORCED ENTRY/NONRESIDENCE
13,3-22-2022 10:28 AM,Wilmington Police,800 BLOCK S 18TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
14,3-22-2022 9:32 AM,Wilmington Police,1200 BLOCK S ELM ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
0,3-22-2022 9:30 AM,Wilmington Police,200 BLOCK N 14TH ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
1,3-22-2022 9:16 AM,Delaware State Police,1600 BLOCK SE NEWPORT GAP PIKE,THEFT/FALSE PRETENSE OR PROMISE
2,3-22-2022 8:55 AM,Wilmington Police,900 BLOCK ADAMS ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,3-22-2022 7:18 AM,Wilmington Police,600 BLOCK HARRISON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
4,3-22-2022 5:24 AM,Wilmington Police,1800 BLOCK 3RD ST,DAMAGE/PRIVATE PROPERTY
0,4-5-2022 8:18 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/SHOPLIFTING
1,4-5-2022 7:40 PM,Wilmington Police,200 BLOCK 6TH AVE,DAMAGE/PRIVATE PROPERTY
2,4-5-2022 5:53 PM,Delaware State Police,000 BLOCK SW AUGUSTINE CUT,THEFT/FALSE PRETENSE OR PROMISE
3,4-5-2022 5:30 PM,Wilmington Police,11TH / N. MARKET S ST & 11TH ST,LARCENY/PICKPOCKETING
4,4-5-2022 5:04 PM,Wilmington Police,2100 BLOCK MARKET ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
5,4-5-2022 4:22 PM,Wilmington Police,1300 BLOCK CEDAR ST,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
6,4-5-2022 3:21 PM,Delaware State Police,1300 BLOCK CENTERVILLE RD,LARCENY/SHOPLIFTING
7,4-5-2022 2:46 PM,Wilmington Police,000 BLOCK SE 10TH ST,LARCENY/BICYCLES
8,4-5-2022 2:45 PM,Wilmington Police,200 BLOCK N 28TH ST,DAMAGE/PRIVATE PROPERTY
9,4-5-2022 2:33 PM,Delaware State Police,3600 BLOCK NE MILLER RD,LARCENY/SHOPLIFTING
10,4-5-2022 12:52 PM,Wilmington Police,TROLLEY SQ,LARCENY/SHOPLIFTING
11,4-5-2022 11:10 AM,Wilmington Police,1300 BLOCK N MARYLAND AVE,CARRYING PROHIBITED
12,4-5-2022 10:20 AM,Wilmington Police,100 BLOCK N 28TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,4-5-2022 9:56 AM,Delaware State Police,200 BLOCK PHILADELPHIA PIKE,FRAUD BY WIRE
14,4-5-2022 9:39 AM,Wilmington Police,700 BLOCK N MARYLAND AVE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
0,4-5-2022 9:33 AM,Wilmington Police,2900 BLOCK N MONROE ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
1,4-5-2022 9:00 AM,Wilmington Police,200 BLOCK N DUPONT ST,POSSESSION OF WEAPON
2,4-5-2022 8:32 AM,Wilmington Police,400 BLOCK MADISON ST,IMPERSONATION
3,4-5-2022 1:20 AM,Wilmington Police,900 BLOCK S 34TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
4,4-4-2022 9:23 PM,Delaware State Police,3800 BLOCK SW DUPONT PKY,DAMAGE/BUSINESS PROPERTY
5,4-4-2022 9:09 PM,Wilmington Police,2600 BLOCK BOWERS ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
6,4-4-2022 8:07 PM,Wilmington Police,1400 BLOCK N WALNUT ST,DAMAGE/PRIVATE PROPERTY
7,4-4-2022 7:15 PM,Wilmington Police,2200 BLOCK SE 4TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,4-4-2022 5:46 PM,Wilmington Police,100 BLOCK FRANKLIN ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
9,4-4-2022 3:14 PM,Wilmington Police,200 BLOCK 29TH ST,BURGLARY/FORCED ENTRY/RESIDENCE
10,4-4-2022 2:58 PM,Wilmington Police,1800 BLOCK S PROSPECT RD,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
11,4-4-2022 2:44 PM,Wilmington Police,800 BLOCK SW TATNALL ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
12,4-4-2022 1:58 PM,Delaware State Police,3300 BLOCK W KIRKWOOD HWY,PUBLIC PEACE/FREE TEXT/CRIMINAL NUISANCE
13,4-4-2022 12:13 PM,Wilmington Police,1500 BLOCK VAN BUREN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
14,4-4-2022 12:00 PM,Wilmington Police,600 BLOCK 9TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
0,4-4-2022 10:04 AM,Wilmington Police,300 BLOCK SW UNION ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
1,4-4-2022 8:29 AM,Wilmington Police,1100 BLOCK RODNEY ST,LARCENY/FROM VEHICLE/NOT ATTACHED
2,4-3-2022 10:51 PM,Wilmington Police,800 BLOCK NW E. THIRTEENTH ST,THEFT/BUS/TRUCK
3,4-3-2022 9:21 PM,Wilmington Police,900 BLOCK NW LOVERING AVE,LARCENY/FROM BUILDING
4,4-3-2022 12:04 PM,Wilmington Police,1000 BLOCK 4TH ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
5,4-3-2022 11:41 AM,Wilmington Police,1100 BLOCK NE HEALD ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
6,4-3-2022 1:42 AM,Wilmington Police,900 BLOCK CLIFFORD BROWN WALK,LARCENY/FROM VEHICLE/NOT ATTACHED
7,4-3-2022 12:45 AM,Wilmington Police,1000 BLOCK DELAWARE AVE,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,4-2-2022 10:16 PM,Wilmington Police,200 BLOCK 35TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,4-2-2022 4:45 PM,Wilmington Police,1300 BLOCK MARYLAND AVE,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
10,4-2-2022 9:58 AM,Wilmington Police,200 BLOCK SE 16TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
11,4-2-2022 8:10 AM,Delaware State Police,600 BLOCK SE DUPONT RD,LARCENY/FROM VEHICLE/NOT ATTACHED
12,4-2-2022 12:21 AM,Wilmington Police,600 BLOCK NE SPRUCE ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
13,4-1-2022 11:28 PM,Wilmington Police,800 BLOCK SW KIRKWOOD ST,DAMAGE/PRIVATE PROPERTY
14,4-1-2022 7:25 PM,Wilmington Police,000 BLOCK DUPONT ST,CARRYING PROHIBITED
0,4-1-2022 5:29 PM,Wilmington Police,1900 BLOCK 8TH ST,VEHICLE THEFT
1,4-1-2022 4:19 PM,Wilmington Police,1300 BLOCK N 28TH ST,CARRYING PROHIBITED
2,4-1-2022 3:26 PM,Wilmington Police,500 BLOCK S BROOM ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
3,4-1-2022 3:03 PM,Wilmington Police,1300 BLOCK 24TH ST,DISTURBING THE PEACE/PUBLIC NUISANCE
4,4-1-2022 12:24 PM,Wilmington Police,2500 BLOCK JESSUP ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
5,4-1-2022 11:26 AM,Wilmington Police,1800 BLOCK S PROSPECT RD,DAMAGE/PRIVATE PROPERTY
6,4-1-2022 11:00 AM,Wilmington Police,1800 BLOCK S PROSPECT RD,FALSE FIRE ALARM
7,4-1-2022 4:22 AM,Wilmington Police,500 BLOCK N WALNUT ST,LARCENY/FROM BUILDING
8,4-1-2022 1:30 AM,Wilmington Police,900 BLOCK ORANGE ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
9,3-31-2022 8:28 PM,Wilmington Police,400 BLOCK NE JUSTISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
10,3-31-2022 6:54 PM,Delaware State Police,3200 BLOCK N KIRKWOOD HWY,LARCENY/SHOPLIFTING
11,3-31-2022 6:16 PM,Wilmington Police,000 BLOCK E. THIRTIETH ST,POSSESSION OF WEAPON
12,3-31-2022 5:26 PM,Wilmington Police,2900 BLOCK E MARKET ST,VEHICLE THEFT
13,3-31-2022 5:21 PM,Wilmington Police,500 BLOCK BUTTONWOOD ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
14,3-31-2022 5:13 PM,Wilmington Police,400 BLOCK S MADISON ST,LARCENY/FROM BUILDING
0,3-31-2022 4:23 PM,Wilmington Police,400 BLOCK 4TH ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
1,3-31-2022 3:23 PM,Wilmington Police,100 BLOCK NE CONNELL ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
2,3-31-2022 2:32 PM,Delaware State Police,1400 BLOCK NE NEWPORT PIKE,LARCENY/SHOPLIFTING
3,3-31-2022 2:21 PM,Wilmington Police,1000 BLOCK SW BROWN ST,LARCENY/FROM ALL OTHER YARDS
4,3-31-2022 2:20 PM,Wilmington Police,1300 BLOCK SEVENTH ST,LARCENY/FROM ALL OTHER YARDS
5,3-31-2022 12:37 PM,Wilmington Police,1600 BLOCK 6TH ST,AGGRAVATED ASSAULT/FAMILY OTHER DANGEROUS WEAPON
6,3-31-2022 12:09 PM,Wilmington Police,1800 BLOCK S PROSPECT RD,THREAT OF ARSON
7,3-31-2022 9:49 AM,Delaware State Police,000 BLOCK NW TERMINAL AVE,LARCENY/FROM ALL OTHER YARDS
8,3-31-2022 7:10 AM,Wilmington Police,500 BLOCK WALNUT ST,LARCENY/SHOPLIFTING
9,3-31-2022 1:42 AM,Wilmington Police,700 BLOCK SE SEVENTH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
10,3-30-2022 10:59 PM,Wilmington Police,600 BLOCK TAYLOR ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
11,3-30-2022 10:26 PM,Delaware State Police,2200 BLOCK NE DUPONT PKY,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
12,3-30-2022 7:38 PM,Wilmington Police,2900 BLOCK VAN BUREN ST,IMPERSONATION
13,3-30-2022 7:30 PM,Delaware State Police,I-495 N/B SW & 12TH STREET,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
14,3-30-2022 6:25 PM,Delaware State Police,3600 BLOCK MILLER RD,LARCENY/FROM BUILDING
0,3-30-2022 6:22 PM,Wilmington Police,100 BLOCK ASHTON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,3-30-2022 5:37 PM,Delaware State Police,300 BLOCK SW CORNELL DR,LARCENY/FROM ALL OTHER YARDS
2,3-30-2022 5:32 PM,Wilmington Police,400 BLOCK CONNELL ST,DAMAGE/PRIVATE PROPERTY
3,3-30-2022 4:45 PM,Wilmington Police,1800 BLOCK 8TH AVE,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
4,3-30-2022 12:20 PM,Wilmington Police,400 BLOCK 8TH ST,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
5,3-30-2022 11:13 AM,Wilmington Police,200 BLOCK CHERRY ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
6,3-30-2022 10:05 AM,Wilmington Police,100 BLOCK N DUPONT RD,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
7,3-30-2022 10:00 AM,Wilmington Police,2400 BLOCK MARKET ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
8,3-30-2022 9:45 AM,Wilmington Police,600 BLOCK 25TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
9,3-30-2022 9:25 AM,Wilmington Police,2000 BLOCK 9TH ST,DAMAGE/PUBLIC PROPERTY
10,3-30-2022 9:17 AM,Wilmington Police,2200 BLOCK MARKET ST,LARCENY/SHOPLIFTING
11,3-30-2022 8:27 AM,Wilmington Police,1700 BLOCK SE CHESTNUT ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
12,3-30-2022 8:00 AM,Wilmington Police,700 BLOCK N 34TH ST,DAMAGE/BUSINESS PROPERTY
13,3-30-2022 2:44 AM,Delaware State Police,1000 BLOCK N MARKET ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
14,3-30-2022 1:18 AM,Wilmington Police,1000 BLOCK BENNETT ST,CARRYING PROHIBITED
0,3-29-2022 10:34 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/SHOPLIFTING
1,3-29-2022 8:39 PM,Wilmington Police,2000 BLOCK 9TH ST,DAMAGE/PUBLIC PROPERTY
2,3-29-2022 8:16 PM,Wilmington Police,2200 BLOCK FAIRFIELD PL,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
3,3-29-2022 7:08 PM,Wilmington Police,2100 BLOCK LAMOTTE ST,DAMAGE/PRIVATE PROPERTY
4,3-29-2022 5:38 PM,Delaware State Police,1300 BLOCK SE NEWPORT GAP PIKE,DAMAGE/PRIVATE PROPERTY
5,3-29-2022 5:34 PM,Wilmington Police,2400 BLOCK MADISON ST,LARCENY/FROM BUILDING
6,3-29-2022 5:26 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
7,3-29-2022 3:58 PM,Wilmington Police,500 BLOCK W GARASCHES LA,THEFT OF SERVICES FROM ALL OTHER YARDS
8,3-29-2022 3:00 PM,Delaware State Police,000 BLOCK MONTCHANIN RD,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
9,3-29-2022 12:46 PM,Wilmington Police,200 BLOCK S HARRISON ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
10,3-29-2022 12:04 PM,Wilmington Police,800 BLOCK MARKET ST,LARCENY/FROM BUILDING
11,3-29-2022 11:16 AM,Wilmington Police,1000 BLOCK N KIRK AVE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
12,3-29-2022 11:15 AM,Wilmington Police,100 BLOCK POPLAR ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
13,3-29-2022 10:59 AM,Wilmington Police,200 BLOCK 30TH ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
0,4-12-2022 9:57 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
1,4-12-2022 9:41 PM,Delaware State Police,NORTHEAST SW BLVD & HAINES AVE,DRIVING UNDER THE INFLUENCE/LIQUOR
2,4-12-2022 8:55 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
3,4-12-2022 7:54 PM,Wilmington Police,600 BLOCK NE HARRISON ST,DAMAGE/PRIVATE PROPERTY
4,4-12-2022 7:46 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,LARCENY/SHOPLIFTING
5,4-12-2022 3:49 PM,Wilmington Police,2700 BLOCK N ENTERPRISE ST,LARCENY/FROM BUILDING
6,4-12-2022 3:38 PM,Wilmington Police,400 BLOCK JUSTISON ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
7,4-12-2022 2:25 PM,Wilmington Police,1100 BLOCK 2ND ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
8,4-12-2022 1:30 PM,Wilmington Police,6TH / FRANKLIN ST & N. FRANKLIN ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
9,4-12-2022 12:15 PM,Delaware State Police,400 BLOCK CENTURY BLVD,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
10,4-12-2022 12:04 PM,Wilmington Police,1700 BLOCK 10TH ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
11,4-12-2022 10:39 AM,Wilmington Police,3800 BLOCK NE MARKET ST,LARCENY/SHOPLIFTING
12,4-12-2022 6:46 AM,Wilmington Police,1100 BLOCK 4TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,4-11-2022 9:10 PM,Delaware State Police,2000 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
14,4-11-2022 8:40 PM,Wilmington Police,200 BLOCK TWENTIETH ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
0,4-11-2022 8:30 PM,Wilmington Police,1100 BLOCK 8TH ST,LARCENY/FROM ALL OTHER YARDS
1,4-11-2022 4:29 PM,Wilmington Police,300 BLOCK S JUSTISON ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
2,4-11-2022 4:21 PM,Wilmington Police,1400 BLOCK PENNSYLVANIA AVE,THEFT/FALSE PRETENSE OR PROMISE
3,4-11-2022 2:52 PM,Wilmington Police,2600 BLOCK WASHINGTON ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
4,4-11-2022 2:17 PM,Wilmington Police,1900 BLOCK SE LANCASTER AVE,LARCENY/FROM BUILDING
5,4-11-2022 12:56 PM,Wilmington Police,3600 BLOCK DOWNING DR,LARCENY/FROM VEHICLE/NOT ATTACHED
6,4-11-2022 11:30 AM,Delaware State Police,1400 BLOCK NEWPORT PIKE,LARCENY/SHOPLIFTING
7,4-11-2022 11:10 AM,Wilmington Police,1800 BLOCK N VANBUREN ST,LARCENY/FROM BUILDING
8,4-11-2022 10:27 AM,Delaware State Police,4400 BLOCK W GOVERNOR PRINTZ BLVD,FRAUD/SWINDLE/FLIMFLAM
9,4-11-2022 10:22 AM,Wilmington Police,1800 BLOCK S PROSPECT RD,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
10,4-11-2022 9:05 AM,Wilmington Police,700 BLOCK TOWNSEND PL,DAMAGE/PRIVATE PROPERTY
11,4-11-2022 8:42 AM,Wilmington Police,100 BLOCK S FRONT ST,DAMAGE/PUBLIC PROPERTY
12,4-11-2022 8:22 AM,Wilmington Police,2100 BLOCK JESSUP ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,4-11-2022 7:38 AM,Wilmington Police,100 BLOCK 9TH ST,DAMAGE/PRIVATE PROPERTY
14,4-11-2022 6:03 AM,Wilmington Police,100 BLOCK S EASTLAWN AVE,CARRYING PROHIBITED
0,4-11-2022 5:30 AM,Wilmington Police,700 BLOCK 10TH ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
1,4-10-2022 11:35 PM,Wilmington Police,ON W. THIRD STREET 152.49 FEET SOUTH EAST FROM UNION STREE,DRIVING UNDER THE INFLUENCE/LIQUOR
2,4-10-2022 11:05 PM,Delaware State Police,300 BLOCK SW MARYLAND AVE,DAMAGE/BUSINESS PROPERTY
3,4-10-2022 8:58 PM,Wilmington Police,ON EASTBOUND LANCASTER AVENUE 173.34 FEET SOUTH EAST FROM,DRIVING UNDER THE INFLUENCE/LIQUOR
4,4-10-2022 8:53 PM,Wilmington Police,700 BLOCK WASHINGTON ST,LARCENY/SHOPLIFTING
5,4-10-2022 5:25 PM,Delaware State Police,4300 BLOCK GOV PRINTZ BLVD,ROBBERY/CARJACKING/OTHER WEAPON CONVENIENCE STORE
6,4-10-2022 4:27 PM,Wilmington Police,2600 BLOCK SW MADISON ST,LARCENY/FROM BUILDING
7,4-10-2022 12:43 PM,Wilmington Police,1100 BLOCK N 2ND ST,DAMAGE/PRIVATE PROPERTY
8,4-10-2022 10:46 AM,Wilmington Police,400 BLOCK 3RD ST,DAMAGE/PRIVATE PROPERTY
9,4-10-2022 9:23 AM,Wilmington Police,1300 BLOCK UNION ST,SIMPLE ASSAULT/POLICE OFFICER/OTHER ASSAULTS/NON-AGGRAVATED
10,4-10-2022 1:52 AM,Wilmington Police,ON EASTBOUND DELAWARE AVENUE 15.88 FEET SOUTH EAST FROM N.,DRIVING UNDER THE INFLUENCE/LIQUOR
11,4-9-2022 9:21 PM,Wilmington Police,3800 BLOCK MARKET ST,LARCENY/SHOPLIFTING
12,4-9-2022 9:17 PM,Wilmington Police,600 BLOCK JUSTISON ST,LARCENY/PICKPOCKETING
13,4-9-2022 7:51 PM,Wilmington Police,000 BLOCK EASTLAWN AVE,VEHICLE THEFT
14,4-9-2022 4:43 PM,Wilmington Police,1500 BLOCK SE FOURTEENTH ST,BURGLARY/FORCED ENTRY/RESIDENCE
0,4-9-2022 3:56 PM,Wilmington Police,700 BLOCK SW MARKET ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
1,4-9-2022 3:32 PM,Wilmington Police,1100 BLOCK 4TH ST,LARCENY/FROM BUILDING
2,4-9-2022 2:04 PM,Delaware State Police,700 BLOCK NE PHILADELPHIA PIKE,LARCENY/FROM BUILDING
3,4-9-2022 1:22 PM,Wilmington Police,1000 BLOCK NW ELM ST,DAMAGE/PRIVATE PROPERTY
4,4-9-2022 12:50 PM,Wilmington Police,400 BLOCK SW SHEARMAN ST,LARCENY/FROM BUILDING
5,4-9-2022 12:10 PM,Wilmington Police,1700 BLOCK NW TENTH ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
6,4-9-2022 11:03 AM,Delaware State Police,1700 BLOCK FAULKLAND RD,DAMAGE/PRIVATE PROPERTY
7,4-9-2022 7:34 AM,Delaware State Police,800 BLOCK N BOXWOOD RD,DAMAGE/PRIVATE PROPERTY
8,4-9-2022 5:27 AM,Wilmington Police,ON SOUTHBOUND NORTHEAST BOULEVARD US13 AT THE INTERSECTION O,DRIVING UNDER THE INFLUENCE/LIQUOR
9,4-9-2022 1:50 AM,Wilmington Police,ON EASTBOUND DELAWARE AVENUE SR52 163.50 FEET NORTH WEST FR,DRIVING UNDER THE INFLUENCE/LIQUOR
10,4-9-2022 1:12 AM,Wilmington Police,600 BLOCK WEST ST,BURGLARY/FORCED ENTRY/RESIDENCE
11,4-9-2022 12:54 AM,Wilmington Police,400 BLOCK FRONT ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
12,4-8-2022 10:52 PM,Delaware State Police,800 BLOCK W BOXWOOD RD,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
13,4-8-2022 10:42 PM,Wilmington Police,ON E. NEWPORT PIKE SR4 11.47 FEET SOUTH WEST FROM S. VANBUR,DRIVING UNDER THE INFLUENCE/LIQUOR
14,4-8-2022 7:45 PM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM VEHICLE/NOT ATTACHED
0,4-8-2022 7:31 PM,Wilmington Police,ON MARKET STREET US13B 109.09 FEET NORTH EAST FROM CONCORD,DRIVING UNDER THE INFLUENCE/LIQUOR
1,4-8-2022 7:25 PM,Wilmington Police,800 BLOCK N MARKET ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
2,4-8-2022 7:25 PM,Wilmington Police,3500 BLOCK SW MARKET ST,LARCENY/SHOPLIFTING
3,4-8-2022 5:52 PM,Wilmington Police,400 BLOCK 35TH ST,THEFT/OTHER MOTOR VEHICLE
4,4-8-2022 5:21 PM,Wilmington Police,3200 BLOCK 2ND ST,LARCENY/FROM ALL OTHER YARDS
5,4-8-2022 3:36 PM,Wilmington Police,28TH / TATNALL S ST & TATNALL ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
6,4-8-2022 3:32 PM,Wilmington Police,800 BLOCK N MONROE ST,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT
7,4-8-2022 3:19 PM,Wilmington Police,100 BLOCK N 10TH ST,BOMB THREAT
8,4-8-2022 2:55 PM,Wilmington Police,400 BLOCK S 2ND ST,BURGLARY/FORCED ENTRY/RESIDENCE
9,4-8-2022 2:28 PM,Delaware State Police,2200 BLOCK SW DUPONT HWY,LARCENY/FROM ALL OTHER YARDS
10,4-8-2022 12:28 PM,Wilmington Police,100 BLOCK NW TWENTY FOURTH ST,CARRYING PROHIBITED
11,4-8-2022 11:00 AM,Wilmington Police,2400 BLOCK 7TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,4-8-2022 10:38 AM,Wilmington Police,400 BLOCK N VAN BUREN ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,4-8-2022 9:30 AM,Wilmington Police,600 BLOCK N MARKET ST,LARCENY/FROM BUILDING
14,4-8-2022 5:40 AM,Wilmington Police,ON EASTBOUND W. TENTH STREET 92.44 FEET SOUTH EAST FROM BR,DRIVING UNDER THE INFLUENCE/DRUGS
0,4-7-2022 7:50 PM,Wilmington Police,3500 BLOCK NE MARKET ST,LARCENY/SHOPLIFTING
1,4-7-2022 5:48 PM,Wilmington Police,600 BLOCK MARKET ST,DAMAGE/PRIVATE PROPERTY
2,4-7-2022 3:26 PM,Wilmington Police,2800 BLOCK WASHINGTON ST,STALKING/OTHER ASSAULTS/NON-AGGRAVATED
3,4-7-2022 3:12 PM,Delaware State Police,4300 BLOCK SE LANCASTER PIKE,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
4,4-7-2022 1:45 PM,Wilmington Police,400 BLOCK N 12TH ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
5,4-7-2022 1:34 PM,Wilmington Police,500 BLOCK MARKET ST,DAMAGE/BUSINESS PROPERTY
6,4-7-2022 1:24 PM,Wilmington Police,2600 BLOCK E NORTHEAST BLVD,LARCENY/SHOPLIFTING
7,4-7-2022 1:13 PM,Wilmington Police,1900 BLOCK 4TH ST,LARCENY/SHOPLIFTING
8,4-7-2022 11:58 AM,Delaware State Police,300 BLOCK S MARSH RD,FRAUD/ILLEGAL USE OF CREDIT CARDS
9,4-7-2022 11:06 AM,Delaware State Police,2400 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
